"Name","xmin","ymin","xmax","ymax","width","height","filename"
"product_name",74,4,189,45,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"product_name",205,11,285,48,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"product_name",522,12,660,56,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"product_name",309,9,509,56,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"product_total_money",866,87,1098,123,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"product_quantity",591,93,636,133,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"product_unit_price",84,85,290,131,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"vat",1013,45,1087,87,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"product_id",82,44,419,96,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"outlier",5,1,37,37,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
