"Name","xmin","ymin","xmax","ymax","width","height","filename"
"product_name",81,5,221,46,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_name",742,8,807,50,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_name",230,9,312,50,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_name",622,11,733,51,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_name",340,13,492,53,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_name",502,14,610,54,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_total_money",856,83,1097,120,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"vat",1010,38,1076,82,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_quantity",598,72,634,129,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_id",83,47,423,91,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"product_unit_price",85,89,317,127,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"outlier",11,1,44,40,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
