"Name","xmin","ymin","xmax","ymax","width","height","filename"
"product_name",682,1,793,36,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_name",86,3,205,41,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_name",216,4,301,39,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_name",318,4,398,39,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_name",415,5,494,37,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_name",512,1,572,32,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_name",585,1,670,36,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_total_money",871,71,1111,113,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_quantity",606,69,646,119,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"vat",1025,29,1087,70,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_unit_price",84,81,325,119,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"product_id",84,45,430,79,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"outlier",17,4,73,43,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
