"Name","xmin","ymin","xmax","ymax","width","height","filename"
"product_name",741,22,805,65,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_name",257,23,340,60,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_name",355,23,612,67,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_name",622,26,732,69,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"vat",1010,62,1067,98,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_total_money",859,99,1102,143,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_name",84,13,168,51,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_name",183,17,242,58,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_unit_price",90,92,303,137,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_quantity",598,109,639,139,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"product_id",70,53,425,99,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"outlier",7,2,42,41,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
