"Name","xmin","ymin","xmax","ymax","width","height","filename"
"product_name",627,1,743,44,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_name",529,3,616,47,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_name",244,4,322,41,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_name",388,5,516,46,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_id",81,40,427,84,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_total_money",866,73,1108,114,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_quantity",606,73,644,119,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"vat",1026,27,1083,72,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_name",185,3,228,38,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_name",344,7,375,43,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_name",88,4,176,37,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"product_unit_price",90,84,325,119,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
"outlier",18,2,73,44,1112,120,"1608466652_0my5W.jpg@product_block_12.jpg"
