"Name","xmin","ymin","xmax","ymax","width","height","filename"
"text",79,2,196,40,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"text",693,2,814,44,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"text",545,4,676,48,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"text",438,5,537,48,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"text",206,6,318,44,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"text",332,8,417,45,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"price",857,75,1101,116,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"text",595,73,638,123,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"text",1013,28,1079,73,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"long_text",82,39,420,84,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"price",86,84,316,121,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
"text",13,2,67,39,1105,125,"1608466652_0my5W.jpg@product_block_11.jpg"
