"Name","xmin","ymin","xmax","ymax","width","height","filename"
"text",744,17,806,63,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"text",237,20,342,60,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"text",621,20,735,65,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"text",451,22,612,67,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"text",354,24,439,62,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"price",854,97,1098,140,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"long_text",85,53,417,99,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"text",596,98,636,143,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"text",80,13,226,49,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"price",84,93,325,138,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"text",1011,51,1077,97,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
"text",12,1,49,39,1109,144,"1608466652_0my5W.jpg@product_block_6.jpg"
