"Name","xmin","ymin","xmax","ymax","width","height","filename"
"text",682,1,793,36,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",86,3,205,41,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",216,4,301,39,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",318,4,398,39,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",415,5,494,37,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",512,1,572,32,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",585,1,670,36,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"price",871,71,1111,113,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",606,69,646,119,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",1025,29,1087,70,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"price",84,81,325,119,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"long_text",84,45,430,79,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
"text",17,4,73,43,1113,121,"1608466652_0my5W.jpg@product_block_14.jpg"
