"Name","xmin","ymin","xmax","ymax","width","height","filename"
"text",74,4,189,45,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"text",205,11,285,48,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"text",522,12,660,56,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"text",309,9,509,56,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"price",866,87,1098,123,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"text",591,93,636,133,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"price",84,85,290,131,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"text",1013,45,1087,87,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"long_text",82,44,419,96,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
"text",5,1,37,37,1104,136,"1608466652_0my5W.jpg@product_block_8.jpg"
