"Name","xmin","ymin","xmax","ymax","width","height","filename"
"text",617,14,755,56,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"text",301,16,389,57,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"text",499,18,607,60,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"text",401,19,484,58,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"text",594,98,631,136,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"price",864,88,1097,132,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"price",90,87,313,134,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"text",1009,50,1074,87,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"text",194,18,294,54,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"text",81,7,189,49,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"long_text",83,46,409,95,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
"text",9,4,40,40,1106,137,"1608466652_0my5W.jpg@product_block_7.jpg"
