"Name","xmin","ymin","xmax","ymax","width","height","filename"
"text",741,22,805,65,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"text",257,23,340,60,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"text",355,23,612,67,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"text",622,26,732,69,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"text",1010,62,1067,98,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"price",859,99,1102,143,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"text",84,13,168,51,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"text",183,17,242,58,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"price",90,92,303,137,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"text",598,109,639,139,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"long_text",70,53,425,99,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
"text",7,2,42,41,1108,147,"1608466652_0my5W.jpg@product_block_5.jpg"
