"Name","xmin","ymin","xmax","ymax","width","height","filename"
"text",81,5,221,46,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"text",742,8,807,50,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"text",230,9,312,50,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"text",622,11,733,51,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"text",340,13,492,53,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"text",502,14,610,54,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"price",856,83,1097,120,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"text",1010,38,1076,82,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"text",598,72,634,129,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"long_text",83,47,423,91,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"price",85,89,317,127,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
"text",11,1,44,40,1106,129,"1608466652_0my5W.jpg@product_block_9.jpg"
